47,-6,41
47,-6,41
47,-6,41
47,-6,41
47,-6,41
47,-6,41
47,-6,41
47,-6,41
47,-6,41
47,-6,41
47,-6,41
47,-6,41
47,-6,41
47,-6,41
47,-6,41
47,-6,41
47,-6,41
47,-6,41
48,496,58
48,450,57
48,408,57
48,372,57
48,339,57
48,305,57
48,271,57
48,237,57
48,203,57
48,151,57
48,111,57
48,69,57
48,33,57
48,-2,57
48,-37,40
48,515,57
48,462,57
48,416,57
48,380,57
48,339,57
48,304,57
48,262,57
48,222,57
48,180,57
48,138,57
48,102,57
48,66,57
37,31,57
37,2,57
37,-34,43
37,364,41
37,322,41
26,286,41
48,251,41
48,204,57
48,157,57
48,116,57
48,73,57
27,43,57
27,13,57
27,-17,57
27,-54,57
27,198,57
8,162,57
48,121,57
48,79,57
28,37,57
28,1,57
28,-41,36
28,314,41
28,276,41
43,240,41
48,205,41
48,168,41
48,133,41
48,97,41
48,54,41
18,17,41
18,-26,41
18,-68,57
18,185,57
30,148,57
48,105,57
48,69,57
48,32,57
1,-4,57
1,-46,57
1,199,57
1,151,57
35,109,57
48,66,57
18,30,57
18,-1,57
18,-37,40
18,183,41
18,147,41
26,109,57
48,72,57
8,41,57
8,9,57
8,-28,57
8,-65,57
8,273,57
48,222,57
48,187,57
48,150,57
48,114,57
48,78,57
27,48,57
27,17,57
27,-21,56
27,-58,19
27,179,41
26,136,41
48,93,41
48,56,41
48,12,41
48,-31,41
48,-69,41
27,279,41
48,242,41
48,203,41
48,166,57
48,128,57
48,90,57
18,53,57
18,21,57
18,-23,57
18,-66,57
0,218,57
48,179,57
48,141,57
48,103,57
28,65,57
28,33,57
28,-14,57
28,-58,19
28,214,41
48,168,57
48,122,57
37,76,57
37,44,57
37,12,57
37,-33,57
37,240,57
16,201,57
48,154,57
48,114,57
48,69,57
37,30,57
37,-4,57
37,-36,41
37,282,57
37,243,57
9,204,57
48,164,57
48,118,57
48,78,42
48,38,41
28,5,41
28,-28,41
28,312,41
28,266,41
28,219,41
48,172,41
48,126,41
48,86,41
27,44,41
27,10,41
27,-24,41
27,-65,12
48,479,42
48,425,41
48,377,41
48,330,41
48,285,41
48,244,41
48,204,41
48,164,41
48,124,41
48,84,41
48,43,41
17,2,41
17,-40,37
16,502,57
48,460,57
48,419,57
48,379,57
48,339,57
48,298,57
48,250,57
48,208,57
48,167,57
48,126,57
48,78,57
26,37,57
26,3,57
26,-32,45
26,310,57
26,268,57
13,219,57
48,172,57
48,124,57
48,76,57
48,27,57
48,-14,58
48,-14,58
48,-14,58
48,-14,58
48,-14,58
48,-14,58
48,-14,58
48,-14,58
48,-14,58
48,-14,58
48,-14,58
48,-14,58
48,-14,58
48,-14,58
48,-14,58
48,-14,58
48,-14,58
48,-14,58
